scorer,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
22,220.42204761505127,153.76842308044434,1.0,226.85935497283936,229.21003377437592,1.0,223.39786076545715,276.4504508972168,1.0
23,219.30670243501663,157.76892375946045,1.0,224.3811674118042,224.22140979766846,1.0,228.4049530029297,271.96994519233704,1.0
24,229.5242760181427,179.97220849990845,1.0,229.09966909885406,236.73313236236572,1.0,232.23106384277344,282.3268280029297,1.0
25,230.00016236305237,199.6395444869995,1.0,231.01606678962708,249.27644109725952,1.0,234.19262647628784,288.54128551483154,1.0
26,220.72335636615753,211.2528100013733,1.0,230.74662804603577,254.63455963134766,1.0,237.2367639541626,289.27137565612793,1.0
27,202.25473642349243,215.65044331550598,1.0,226.77474522590637,256.62266635894775,1.0,237.52091693878174,288.08609533309937,1.0
28,180.84198570251465,202.63501834869385,1.0,215.8935227394104,248.248055934906,1.0,236.47089099884033,282.1539316177368,1.0
29,163.627836227417,184.0961570739746,1.0,203.91906547546387,239.21340990066528,1.0,231.14939522743225,270.9629554748535,1.0
30,142.52099132537842,169.18533945083618,1.0,189.57642364501953,220.59818309545517,1.0,222.97880244255066,254.8508996963501,1.0
31,124.18328365683556,157.78791046142578,1.0,176.26289558410645,209.85152673721313,1.0,209.6572470664978,240.0847659111023,1.0
32,99.31387662887573,143.48222374916077,1.0,147.1727238893509,194.67806243896484,1.0,191.47102046012878,224.59112405776978,1.0
33,83.82291984558105,124.39845943450928,1.0,131.6655249595642,176.38838911056519,1.0,175.4434678554535,208.35326099395752,1.0
34,74.28170824050903,107.87910175323486,1.0,121.7763819694519,162.6208620071411,1.0,161.00471544265747,196.41838932037354,1.0
35,75.70005184412003,100.8116226196289,1.0,118.6543276309967,157.86633777618408,1.0,150.66460061073303,189.67760372161865,1.0
36,79.85907578468323,93.60805892944336,1.0,115.28785163164139,149.31243896484375,1.0,144.20007181167603,185.3097743988037,1.0
37,84.42941093444824,92.41321849822998,1.0,116.16193272173405,148.3812961578369,1.0,144.7393078804016,185.21923780441284,1.0
38,82.12079954147339,113.07909679412842,1.0,122.59088897705078,157.802832365036,1.0,149.65747106075287,189.75220680236816,1.0
39,77.97227716445923,120.70017337799072,0.9999998807907104,120.55515098571777,155.1057686805725,1.0,149.53990769386292,187.63377809524536,1.0
40,79.95676589012146,128.9671494960785,0.07574507594108582,119.06215047836304,152.82519245147705,1.0,149.8346061706543,183.9508740901947,1.0
41,77.06588625907898,129.0788984298706,0.9999988079071045,119.03341126441956,148.82590198516846,1.0,150.23034048080444,181.25317859649658,1.0
42,86.27541518211365,116.22497400641441,0.999996542930603,122.80561637878418,153.15173530578613,1.0,151.91689538955688,183.08342933654785,1.0
43,106.28152370452881,107.44540119171143,1.0,126.47226858139038,155.91141080856323,1.0,154.91650295257568,185.11555004119873,1.0
44,122.492196559906,99.22807741165161,1.0,129.70181941986084,153.89442777633667,1.0,154.87604427337646,186.47473096847534,1.0
